Symbol,Date,Expiry,Strike Price,Stock Price,Call Price,Put Price
AMBUJACEM,28-Dec-22,29-Dec-22,370,518.4,143.9,2
AMBUJACEM,28-Dec-22,29-Dec-22,580,518.4,0.1,61.25
AMBUJACEM,28-Dec-22,29-Dec-22,365,518.4,148.55,1.7
AMBUJACEM,28-Dec-22,29-Dec-22,565,518.4,0.05,46.85
AMBUJACEM,28-Dec-22,29-Dec-22,675,518.4,0.05,163.5
AMBUJACEM,28-Dec-22,29-Dec-22,350,518.4,162.6,1
AMBUJACEM,28-Dec-22,29-Dec-22,425,518.4,96.65,0.2
AMBUJACEM,28-Dec-22,29-Dec-22,445,518.4,81.6,0.4
AMBUJACEM,28-Dec-22,25-Jan-23,310,518.4,222.65,0.1
AMBUJACEM,28-Dec-22,25-Jan-23,490,518.4,48.15,10.2
AMBUJACEM,28-Dec-22,25-Jan-23,635,518.4,13.45,110.75
AMBUJACEM,28-Dec-22,25-Jan-23,420,518.4,119.75,1.4
AMBUJACEM,28-Dec-22,25-Jan-23,600,518.4,3.6,80.5
AMBUJACEM,28-Dec-22,25-Jan-23,405,518.4,132.75,3.7
AMBUJACEM,28-Dec-22,25-Jan-23,325,518.4,208,0.2
AMBUJACEM,28-Dec-22,25-Jan-23,415,518.4,124,4.8
AMBUJACEM,28-Dec-22,25-Jan-23,655,518.4,10.35,127.3
AMBUJACEM,28-Dec-22,25-Jan-23,610,518.4,3.5,50
AMBUJACEM,28-Dec-22,25-Jan-23,525,518.4,21.55,23.65
AMBUJACEM,28-Dec-22,25-Jan-23,630,518.4,2,106.7
AMBUJACEM,28-Dec-22,25-Jan-23,520,518.4,23.8,20.85
AMBUJACEM,28-Dec-22,25-Jan-23,350,518.4,183.8,0.6
AMBUJACEM,28-Dec-22,25-Jan-23,315,518.4,217.75,0.15
AMBUJACEM,28-Dec-22,25-Jan-23,400,518.4,137.15,1.1
AMBUJACEM,28-Dec-22,25-Jan-23,575,518.4,8.5,63
AMBUJACEM,28-Dec-22,25-Jan-23,440,518.4,103.3,1.95
AMBUJACEM,28-Dec-22,25-Jan-23,535,518.4,18.15,25.85
AMBUJACEM,28-Dec-22,25-Jan-23,320,518.4,212.85,0.2
AMBUJACEM,28-Dec-22,25-Jan-23,530,518.4,18.75,26.25
AMBUJACEM,28-Dec-22,25-Jan-23,620,518.4,2.55,62
AMBUJACEM,28-Dec-22,25-Jan-23,625,518.4,15.3,102.75
AMBUJACEM,28-Dec-22,25-Jan-23,455,518.4,91.75,5.5
AMBUJACEM,28-Dec-22,25-Jan-23,450,518.4,74.75,3
AMBUJACEM,28-Dec-22,25-Jan-23,665,518.4,9.05,135.85
AMBUJACEM,28-Dec-22,25-Jan-23,385,518.4,150.8,2.05
AMBUJACEM,28-Dec-22,25-Jan-23,380,518.4,155.4,1.75
AMBUJACEM,28-Dec-22,25-Jan-23,355,518.4,179,0.75
AMBUJACEM,28-Dec-22,25-Jan-23,475,518.4,77.5,7.5
AMBUJACEM,28-Dec-22,25-Jan-23,500,518.4,35.6,13.35
AMBUJACEM,28-Dec-22,25-Jan-23,370,518.4,164.75,1.25
AMBUJACEM,28-Dec-22,25-Jan-23,340,518.4,193.4,0.4
AMBUJACEM,28-Dec-22,25-Jan-23,565,518.4,8.25,45.35
AMBUJACEM,28-Dec-22,25-Jan-23,590,518.4,4.45,72
AMBUJACEM,28-Dec-22,25-Jan-23,360,518.4,174.2,0.9
AMBUJACEM,28-Dec-22,25-Jan-23,585,518.4,5.4,73
AMBUJACEM,28-Dec-22,25-Jan-23,410,518.4,128.35,1.75
AMBUJACEM,28-Dec-22,25-Jan-23,650,518.4,1.45,123.1
AMBUJACEM,28-Dec-22,25-Jan-23,560,518.4,8.45,45.95
AMBUJACEM,28-Dec-22,25-Jan-23,615,518.4,17.35,94.95
AMBUJACEM,28-Dec-22,25-Jan-23,545,518.4,13.15,31
AMBUJACEM,28-Dec-22,25-Jan-23,470,518.4,80.95,5.5
AMBUJACEM,28-Dec-22,25-Jan-23,595,518.4,22.1,80.05
AMBUJACEM,28-Dec-22,25-Jan-23,605,518.4,19.6,87.35
AMBUJACEM,28-Dec-22,25-Jan-23,550,518.4,11.15,38.55
AMBUJACEM,28-Dec-22,25-Jan-23,430,518.4,111.4,2.75
AMBUJACEM,28-Dec-22,25-Jan-23,660,518.4,0.85,131.55
AMBUJACEM,28-Dec-22,25-Jan-23,345,518.4,188.6,0.5
AMBUJACEM,28-Dec-22,25-Jan-23,495,518.4,37.25,11.8
AMBUJACEM,28-Dec-22,25-Jan-23,510,518.4,29.85,17
AMBUJACEM,28-Dec-22,25-Jan-23,570,518.4,6.75,52.15
AMBUJACEM,28-Dec-22,25-Jan-23,675,518.4,0.8,144.55
AMBUJACEM,28-Dec-22,25-Jan-23,555,518.4,10.5,45.5
AMBUJACEM,28-Dec-22,25-Jan-23,460,518.4,88.05,13.15
AMBUJACEM,28-Dec-22,25-Jan-23,670,518.4,0.6,147.1
AMBUJACEM,28-Dec-22,25-Jan-23,395,518.4,141.65,2.75
AMBUJACEM,28-Dec-22,25-Jan-23,425,518.4,115.5,6.15
AMBUJACEM,28-Dec-22,25-Jan-23,540,518.4,14.65,32
AMBUJACEM,28-Dec-22,25-Jan-23,645,518.4,11.8,118.95
AMBUJACEM,28-Dec-22,25-Jan-23,375,518.4,160.05,1.5
AMBUJACEM,28-Dec-22,25-Jan-23,390,518.4,146.2,2.4
AMBUJACEM,28-Dec-22,25-Jan-23,485,518.4,70.9,8.35
AMBUJACEM,28-Dec-22,25-Jan-23,640,518.4,1.6,114.8
AMBUJACEM,28-Dec-22,25-Jan-23,445,518.4,99.35,4
AMBUJACEM,28-Dec-22,25-Jan-23,465,518.4,84.45,6.75
AMBUJACEM,28-Dec-22,25-Jan-23,335,518.4,198.25,0.35
AMBUJACEM,28-Dec-22,25-Jan-23,365,518.4,169.45,1.05
AMBUJACEM,28-Dec-22,25-Jan-23,330,518.4,203.1,0.25
AMBUJACEM,28-Dec-22,25-Jan-23,480,518.4,49,7.7
AMBUJACEM,28-Dec-22,25-Jan-23,505,518.4,36.45,14.3
AMBUJACEM,28-Dec-22,25-Jan-23,435,518.4,107.3,7.75
AMBUJACEM,28-Dec-22,25-Jan-23,580,518.4,5.45,58.6
AMBUJACEM,28-Dec-22,25-Jan-23,515,518.4,31.3,18.75
AMBUJACEM,28-Dec-22,23-Feb-23,605,518.4,30.25,67.5
AMBUJACEM,28-Dec-22,23-Feb-23,550,518.4,53.3,36.45
AMBUJACEM,28-Dec-22,23-Feb-23,415,518.4,152.25,2.6
AMBUJACEM,28-Dec-22,23-Feb-23,630,518.4,22.85,84.7
AMBUJACEM,28-Dec-22,23-Feb-23,645,518.4,19.2,95.8
AMBUJACEM,28-Dec-22,23-Feb-23,670,518.4,14.2,115.4
AMBUJACEM,28-Dec-22,23-Feb-23,535,518.4,61.35,29.75
AMBUJACEM,28-Dec-22,23-Feb-23,660,518.4,16.05,107.4
AMBUJACEM,28-Dec-22,23-Feb-23,475,518.4,101.5,10.9
AMBUJACEM,28-Dec-22,23-Feb-23,440,518.4,130.1,5.05
AMBUJACEM,28-Dec-22,23-Feb-23,555,518.4,50.8,38.85
AMBUJACEM,28-Dec-22,23-Feb-23,430,518.4,138.8,3.9
