Symbol,Date,Expiry,Strike Price,Stock Price,Call Price,Put Price
APOLLOHOSP,28-Dec-22,25-Jan-23,3850,4588.65,759,115.8
APOLLOHOSP,28-Dec-22,25-Jan-23,3650,4588.65,911.45,71.5
APOLLOHOSP,28-Dec-22,25-Jan-23,2950,4588.65,1535.35,6.55
APOLLOHOSP,28-Dec-22,25-Jan-23,3800,4588.65,795.6,4
APOLLOHOSP,28-Dec-22,25-Jan-23,3600,4588.65,951.85,62.65
APOLLOHOSP,28-Dec-22,25-Jan-23,4100,4588.65,590.1,18.6
APOLLOHOSP,28-Dec-22,25-Jan-23,4050,4588.65,621.75,175.4
APOLLOHOSP,28-Dec-22,25-Jan-23,4800,4588.65,89.25,265
APOLLOHOSP,28-Dec-22,25-Jan-23,4700,4588.65,123.85,202.75
APOLLOHOSP,28-Dec-22,25-Jan-23,5300,4588.65,14.7,913.1
APOLLOHOSP,28-Dec-22,25-Jan-23,5000,4588.65,43.9,403
APOLLOHOSP,28-Dec-22,25-Jan-23,2800,4588.65,1679.65,3.2
APOLLOHOSP,28-Dec-22,25-Jan-23,4500,4588.65,231.65,99
APOLLOHOSP,28-Dec-22,25-Jan-23,5250,4588.65,139.05,873.6
APOLLOHOSP,28-Dec-22,25-Jan-23,3100,4588.65,1393.45,12.25
APOLLOHOSP,28-Dec-22,25-Jan-23,4400,4588.65,422.85,68.5
APOLLOHOSP,28-Dec-22,25-Jan-23,4850,4588.65,76.9,270.7
APOLLOHOSP,28-Dec-22,25-Jan-23,4250,4588.65,501.65,252.1
APOLLOHOSP,28-Dec-22,25-Jan-23,5350,4588.65,120.1,953.05
APOLLOHOSP,28-Dec-22,25-Jan-23,4900,4588.65,63.1,304
APOLLOHOSP,28-Dec-22,25-Jan-23,3550,4588.65,993.05,54.65
APOLLOHOSP,28-Dec-22,25-Jan-23,4650,4588.65,145,169.65
APOLLOHOSP,28-Dec-22,25-Jan-23,5050,4588.65,184,721.75
APOLLOHOSP,28-Dec-22,25-Jan-23,4450,4588.65,398.65,81
APOLLOHOSP,28-Dec-22,25-Jan-23,3750,4588.65,833.3,91.75
APOLLOHOSP,28-Dec-22,25-Jan-23,3900,4588.65,723.15,129.2
APOLLOHOSP,28-Dec-22,25-Jan-23,4350,4588.65,448.05,296.9
APOLLOHOSP,28-Dec-22,25-Jan-23,3000,4588.65,1487.75,8.1
APOLLOHOSP,28-Dec-22,25-Jan-23,3450,4588.65,1077.7,40.9
APOLLOHOSP,28-Dec-22,25-Jan-23,5150,4588.65,160.25,796.4
APOLLOHOSP,28-Dec-22,25-Jan-23,4150,4588.65,559.55,42.45
APOLLOHOSP,28-Dec-22,25-Jan-23,2750,4588.65,1728.15,2.5
APOLLOHOSP,28-Dec-22,25-Jan-23,5400,4588.65,32.95,993.75
APOLLOHOSP,28-Dec-22,25-Jan-23,4000,4588.65,640,13.05
APOLLOHOSP,28-Dec-22,25-Jan-23,3200,4588.65,1300.7,17.9
APOLLOHOSP,28-Dec-22,25-Jan-23,5500,4588.65,8.3,1076.65
APOLLOHOSP,28-Dec-22,25-Jan-23,3350,4588.65,1165.15,29.95
APOLLOHOSP,28-Dec-22,25-Jan-23,2700,4588.65,1776.75,1.9
APOLLOHOSP,28-Dec-22,25-Jan-23,4550,4588.65,353.45,120.35
APOLLOHOSP,28-Dec-22,25-Jan-23,5100,4588.65,30.35,758.8
APOLLOHOSP,28-Dec-22,25-Jan-23,4950,4588.65,102.95,650.35
APOLLOHOSP,28-Dec-22,23-Feb-23,5000,4588.65,357.55,460.8
APOLLOHOSP,28-Dec-22,23-Feb-23,3900,4588.65,1043,64.2
APOLLOHOSP,28-Dec-22,23-Feb-23,4400,4588.65,673.9,186.95
APOLLOHOSP,28-Dec-22,23-Feb-23,4350,4588.65,706.9,170.75
APOLLOHOSP,28-Dec-22,23-Feb-23,5250,4588.65,265.7,614.85
APOLLOHOSP,28-Dec-22,23-Feb-23,5400,4588.65,220.45,717.15
APOLLOHOSP,28-Dec-22,23-Feb-23,4150,4588.65,847.45,114.6
APOLLOHOSP,28-Dec-22,23-Feb-23,4850,4588.65,423.5,379.15
APOLLOHOSP,28-Dec-22,23-Feb-23,3850,4588.65,1084.45,56.45
APOLLOHOSP,28-Dec-22,23-Feb-23,5300,4588.65,249.85,648.15
APOLLOHOSP,28-Dec-22,23-Feb-23,4300,4588.65,740.65,155.35
APOLLOHOSP,28-Dec-22,23-Feb-23,5150,4588.65,299.85,550.65
APOLLOHOSP,28-Dec-22,23-Feb-23,5450,4588.65,206.85,752.75
APOLLOHOSP,28-Dec-22,23-Feb-23,5050,4588.65,337.45,489.85
APOLLOHOSP,28-Dec-22,23-Feb-23,4250,4588.65,775.4,140.9
APOLLOHOSP,28-Dec-22,23-Feb-23,3950,4588.65,1002.25,72.65
APOLLOHOSP,28-Dec-22,23-Feb-23,4000,4588.65,962.35,81.9
APOLLOHOSP,28-Dec-22,23-Feb-23,4800,4588.65,447.35,353.85
APOLLOHOSP,28-Dec-22,23-Feb-23,4700,4588.65,498.05,306.2
APOLLOHOSP,28-Dec-22,23-Feb-23,4550,4588.65,581.5,242.1
APOLLOHOSP,28-Dec-22,23-Feb-23,4050,4588.65,923.2,91.95
APOLLOHOSP,28-Dec-22,23-Feb-23,5200,4588.65,282.35,582.3
APOLLOHOSP,28-Dec-22,23-Feb-23,5550,4588.65,182.05,826.3
APOLLOHOSP,28-Dec-22,23-Feb-23,4600,4588.65,552.7,262.45
APOLLOHOSP,28-Dec-22,23-Feb-23,5100,4588.65,318.2,519.8
APOLLOHOSP,28-Dec-22,23-Feb-23,4650,4588.65,524.9,283.85
APOLLOHOSP,28-Dec-22,23-Feb-23,5500,4588.65,194,789.05
APOLLOHOSP,28-Dec-22,23-Feb-23,4450,4588.65,642.15,204.35
APOLLOHOSP,28-Dec-22,23-Feb-23,5350,4588.65,234.75,682.25
APOLLOHOSP,28-Dec-22,23-Feb-23,4100,4588.65,884.9,102.85
APOLLOHOSP,28-Dec-22,23-Feb-23,4950,4588.65,385.95,432.65
APOLLOHOSP,28-Dec-22,23-Feb-23,4500,4588.65,611.3,222.7
APOLLOHOSP,28-Dec-22,23-Feb-23,4200,4588.65,811.05,127.35
APOLLOHOSP,28-Dec-22,23-Feb-23,4750,4588.65,472.25,329.55
APOLLOHOSP,28-Dec-22,23-Feb-23,4900,4588.65,240,405.45
APOLLOHOSP,29-Dec-22,29-Dec-22,4050,4524.45,603.6,0.6
APOLLOHOSP,29-Dec-22,29-Dec-22,5300,4524.45,0.05,958.85
APOLLOHOSP,29-Dec-22,29-Dec-22,5450,4524.45,0.1,1081.6
APOLLOHOSP,29-Dec-22,29-Dec-22,5100,4524.45,0.05,440.6
APOLLOHOSP,29-Dec-22,29-Dec-22,4150,4524.45,543.85,0.05
APOLLOHOSP,29-Dec-22,29-Dec-22,5350,4524.45,0.05,999.25
APOLLOHOSP,29-Dec-22,29-Dec-22,3400,4524.45,1087.6,44.65
APOLLOHOSP,29-Dec-22,29-Dec-22,5250,4524.45,0.05,919.2
APOLLOHOSP,29-Dec-22,29-Dec-22,5050,4524.45,0.05,276.35
APOLLOHOSP,29-Dec-22,29-Dec-22,2950,4524.45,1495.5,9.35
APOLLOHOSP,29-Dec-22,29-Dec-22,3300,4524.45,1174.45,33
APOLLOHOSP,29-Dec-22,29-Dec-22,2900,4524.45,1543,7.6
APOLLOHOSP,29-Dec-22,29-Dec-22,4250,4524.45,263,0.25
APOLLOHOSP,29-Dec-22,29-Dec-22,3750,4524.45,807.65,109.4
APOLLOHOSP,29-Dec-22,29-Dec-22,4400,4524.45,110.4,0.15
APOLLOHOSP,29-Dec-22,29-Dec-22,4450,4524.45,70.3,0.35
APOLLOHOSP,29-Dec-22,29-Dec-22,2700,4524.45,1735.4,3
APOLLOHOSP,29-Dec-22,29-Dec-22,3950,4524.45,667.5,0.5
APOLLOHOSP,29-Dec-22,29-Dec-22,3350,4524.45,1130.7,38.5
APOLLOHOSP,29-Dec-22,29-Dec-22,3250,4524.45,1218.8,28.15
APOLLOHOSP,29-Dec-22,29-Dec-22,3100,4524.45,1355.15,16.75
APOLLOHOSP,29-Dec-22,29-Dec-22,3450,4524.45,1045.2,51.5
APOLLOHOSP,29-Dec-22,29-Dec-22,4650,4524.45,0.1,120
APOLLOHOSP,29-Dec-22,29-Dec-22,2750,4524.45,1686.95,3.85
APOLLOHOSP,29-Dec-22,29-Dec-22,4300,4524.45,320,0.15
APOLLOHOSP,29-Dec-22,29-Dec-22,3700,4524.45,845.05,0.45
APOLLOHOSP,29-Dec-22,29-Dec-22,4500,4524.45,28.25,0.45
APOLLOHOSP,29-Dec-22,29-Dec-22,5550,4524.45,0.05,1165.9
APOLLOHOSP,29-Dec-22,29-Dec-22,4350,4524.45,436.95,0.1
APOLLOHOSP,29-Dec-22,29-Dec-22,2800,4524.45,1638.75,4.85
APOLLOHOSP,29-Dec-22,29-Dec-22,3050,4524.45,1401.55,13.9
APOLLOHOSP,29-Dec-22,29-Dec-22,4700,4524.45,0.05,171.4
APOLLOHOSP,29-Dec-22,29-Dec-22,5500,4524.45,0.05,1123.5
APOLLOHOSP,29-Dec-22,29-Dec-22,5150,4524.45,0.05,841.3
APOLLOHOSP,29-Dec-22,29-Dec-22,3150,4524.45,1309.2,20.05
APOLLOHOSP,29-Dec-22,29-Dec-22,3850,4524.45,735.75,2.75
APOLLOHOSP,29-Dec-22,29-Dec-22,3800,4524.45,792,0.05
APOLLOHOSP,29-Dec-22,29-Dec-22,4750,4524.45,0.05,229.7
APOLLOHOSP,29-Dec-22,29-Dec-22,3600,4524.45,922.6,76.65
APOLLOHOSP,29-Dec-22,29-Dec-22,4800,4524.45,0.05,307.8
APOLLOHOSP,29-Dec-22,29-Dec-22,4850,4524.45,0.05,343
APOLLOHOSP,29-Dec-22,29-Dec-22,3000,4524.45,1448.35,11.45
APOLLOHOSP,29-Dec-22,29-Dec-22,4000,4524.45,660.15,0.05
APOLLOHOSP,29-Dec-22,29-Dec-22,3900,4524.45,701.2,0.1
