Date,NIFTY,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BRITANNIA.NS,COALINDIA.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,NESTLEIND.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,TCS.NS,ULTRACEMCO.NS
2019-01-01,,621.9000244140625,2735.0,651.5,2645.0,3120.0,241.0,1063.824951171875,3089.0,1824.800048828125,361.5,660.9500122070312,282.20001220703125,1254.0,7449.75,1115.0,1028.8529052734375,297.5,17260.0,1896.0,4000.0
2019-01-02,10868.849609375,623.0,2720.0,647.5,2635.10009765625,3100.0,240.89999389648438,1071.4000244140625,3115.0,1792.4000244140625,361.5,666.0,282.25,1247.9000244140625,7445.0,1098.050048828125,1019.0238037109375,299.1000061035156,16969.75,1905.0,4000.0
2019-01-03,10796.7998046875,621.4000244140625,2690.10009765625,643.9000244140625,2612.0,3116.85009765625,238.6999969482422,1062.0999755859375,3032.0,1782.5999755859375,365.0,672.0,280.6000061035156,1240.0,7280.0,1111.0999755859375,1012.6234741210938,295.0,16870.0,1919.0,4010.0
2019-01-04,10699.7001953125,612.0,2714.0,641.9949951171875,2601.0,3137.949951171875,234.10000610351562,1057.625,3030.0,1798.9000244140625,361.8500061035156,671.75,279.1499938964844,1238.0,7239.0,1113.9000244140625,1003.3887329101562,292.1000061035156,16850.099609375,1900.0,3928.0
2019-01-07,10804.849609375,626.0,2739.89990234375,645.0499877929688,2601.0,3137.10009765625,238.0,1063.8499755859375,3020.0,1791.5,367.5,665.0,284.29998779296875,1250.949951171875,7310.0,1087.5,1012.1663208007812,301.04998779296875,16950.0,1891.800048828125,3935.0
2019-01-08,10786.25,636.0,2667.0,643.0,2560.0,3155.0,234.5,1061.0,2974.0,1792.0,367.79998779296875,674.9500122070312,282.0,1243.0,7380.0,1080.0,1010.4290771484375,295.79998779296875,16851.19921875,1905.4000244140625,3915.0
2019-01-09,10862.400390625,652.3499755859375,2702.5,646.0,2546.0,3114.0,234.1999969482422,1059.0,2985.10009765625,1777.5,381.6499938964844,686.2000122070312,285.6000061035156,1237.3499755859375,7460.5,1109.9849853515625,1016.7379760742188,306.0,16875.0,1907.4000244140625,3917.0
2019-01-10,10859.349609375,668.9000244140625,2700.0,642.5,2526.0,3100.0,233.8000030517578,1058.5,2932.0,1785.0,380.95001220703125,681.5999755859375,290.75,1239.0,7500.0,1132.0,1012.85205078125,305.1000061035156,16470.0,1890.0,3820.0
2019-01-11,10834.75,665.0,2728.0,635.5,2516.0,3090.0,233.6999969482422,1056.9000244140625,2923.0,1795.0,380.6000061035156,680.2000122070312,291.8999938964844,1225.0,7382.7001953125,1140.0150146484375,1012.7149047851562,305.3999938964844,16331.2001953125,1870.0,3818.199951171875
2019-01-14,10807.0,663.0,2718.0,638.8900146484375,2515.949951171875,3102.0,232.39999389648438,1054.949951171875,2901.0,1771.0,378.70001220703125,707.0,294.5,1217.0,7330.0,1130.0,1001.1943359375,301.0,16080.0,1850.0,3770.199951171875
2019-01-15,10777.5498046875,661.2999877929688,2705.0,638.5,2551.0,3120.14990234375,231.5,1052.5250244140625,2879.699951171875,1767.4000244140625,373.54998779296875,707.2000122070312,295.25,1217.0,7430.0,1129.5999755859375,1010.337646484375,302.0,15500.0,1810.0,3792.0
2019-01-16,10899.650390625,660.7000122070312,2736.0,650.0,2598.39990234375,3184.0,232.8000030517578,1060.0250244140625,2909.0,1790.0,372.04998779296875,729.9000244140625,296.0,1215.699951171875,7349.5,1126.10498046875,1037.767578125,303.0,15760.0,1870.0,3843.0
2019-01-17,10920.849609375,669.9000244140625,2722.0,646.5999755859375,2574.0,3181.0,232.75,1062.625,2878.5,1776.9000244140625,376.0,735.7999877929688,294.1000061035156,1208.0,7339.0,1120.0,1046.4080810546875,303.8999938964844,15900.0,1878.0,3892.0
2019-01-18,10914.849609375,674.9000244140625,2741.0,636.6099853515625,2545.0,3214.85009765625,232.14999389648438,1067.5,2916.39990234375,1750.0,374.6000061035156,730.0,293.25,1220.0999755859375,7345.0,1120.0,1050.3853759765625,298.75,15900.0,1881.0,3859.0
2019-01-21,10919.349609375,661.5499877929688,2724.75,625.385009765625,2548.0,3170.0,230.4499969482422,1069.9749755859375,2901.0,1749.0,373.0,738.2000122070312,292.8500061035156,1240.699951171875,7358.0,1129.5999755859375,1091.7132568359375,295.8999938964844,15560.0,1902.0,3810.0
2019-01-22,10949.7998046875,656.3499755859375,2685.0,637.7000122070312,2585.0,3150.0,228.4499969482422,1073.0,2795.0,1746.0,370.54998779296875,741.25,289.8500061035156,1279.0,7180.0,1129.0,1127.235107421875,293.0,15620.0,1907.0999755859375,3850.0
2019-01-23,10931.0498046875,659.5,2699.0,642.9849853515625,2619.0,3177.0,227.8000030517578,1067.0,2832.0,1752.0,368.79998779296875,742.3499755859375,291.5,1298.9000244140625,7050.0,1125.5,1127.646484375,290.45001220703125,15860.0,1901.0,3862.0
2019-01-24,10844.0498046875,665.0,2684.0,651.5,2639.0,3217.0,225.6999969482422,1055.0,2795.0,1766.800048828125,366.6000061035156,728.0999755859375,279.29998779296875,1274.0,7059.89990234375,1131.5899658203125,1120.0576171875,286.6499938964844,16005.4501953125,1884.800048828125,3856.0
