Date,SENSEX,ASIAN PAINTS,AXIS BANK,BAJAJ FINANCE,BAJAJ FINSERV,BHARTI AIRTEL,DR REDDY,HCL TECH,HDFC BANK,HINDUSTAN UNILVR,ICICI BANK,DLF,EICHER MOTORS,VARUN BEVERAGES,SIEMENS,PNB,BPCL,GODREJ CONSUMER,CIPLA,AMBUJA CEMENT,GAIL
2019-01-02,35891.51953125,1370.0150146484400,617.9595336914060,2605.429443359380,638.7383422851560,309.9912109375,2580.4248046875,456.6329345703130,1050.926025390630,1756.6661376953100,359.2220764160160,171.54974365234400,2079.444580078130,117.2046127319340,1050.5321044921900,76.85759735107420,332.5717468261720,801.2174682617190,511.5002136230470,219.10000610351600,109.4752426147460
2019-01-03,35513.7109375,1373.5849609375,607.0261840820310,2577.0,637.808837890625,310.33807373046900,2555.569091796880,457.6467590332030,1044.1536865234400,1759.9647216796900,358.1375427246090,171.25209045410200,1990.00439453125,118.73356628418000,1038.7501220703100,76.80824279785160,327.5138244628910,807.2689208984380,508.7723693847660,214.0,109.07036590576200
2019-01-04,35695.1015625,1373.7337646484400,618.9080200195310,2568.3369140625,641.0220947265630,319.7032165527340,2581.46630859375,450.5740966796880,1046.87255859375,1752.9735107421900,360.4051513671880,173.78216552734400,1977.7423095703100,118.7261734008790,1058.4364013671900,80.26362609863280,334.2422790527340,798.8366088867190,509.2683410644530,216.0500030517580,110.08258056640600
2019-01-07,35850.16015625,1383.1544189453100,636.4813232421880,2541.849365234380,639.14306640625,321.53662109375,2536.716552734380,453.6638488769530,1047.9847412109400,1757.355224609380,362.3277282714840,178.14781188964800,1947.647216796880,119.43525695800800,1053.6639404296900,79.47381591796880,330.8548583984380,793.8268432617190,509.5163269042970,218.3000030517580,111.25052642822300
2019-01-08,35980.9296875,1389.550537109380,649.910888671875,2524.323974609380,644.4153442382810,325.8970947265630,2550.409423828130,456.2708435058590,1039.5069580078100,1743.4713134765600,374.8490295410160,180.08258056640600,1968.919189453130,120.10001373291000,1046.50537109375,80.46107482910160,326.4929504394530,775.0773315429690,509.21868896484400,218.4499969482420,110.50303649902300
2019-01-09,36212.91015625,1391.1868896484400,669.03173828125,2514.416259765630,639.003173828125,332.1405334472660,2583.698974609380,453.8569641113280,1046.1063232421900,1755.8782958984400,376.6236572265630,180.57867431640600,1992.362548828130,120.15172576904300,1047.1019287109400,79.6712646484375,316.70184326171900,768.629150390625,506.689208984375,212.9499969482420,106.43859100341800
2019-01-10,36106.5,1385.881591796880,661.9924926757810,2505.205322265630,636.5194702148440,334.2216796875,2579.3828125,451.80517578125,1042.8189697265600,1758.5369873046900,374.35601806640600,181.9181365966800,2016.802978515630,120.86079406738300,1064.3521728515600,80.1648941040039,311.6439208984380,772.9940795898440,509.4170837402340,212.4499969482420,107.23279571533200
2019-01-11,36009.83984375,1390.49267578125,665.4871826171880,2500.375732421880,636.6044311523440,331.0503845214840,2569.70849609375,454.0500793457030,1044.104248046880,1741.255859375,373.2221984863280,180.6282958984380,2012.95654296875,119.8045654296880,1051.6754150390600,79.6712646484375,312.9432067871090,773.5396728515630,506.9372253417970,212.6999969482420,105.61325073242200
2019-01-14,35853.55859375,1376.807861328130,658.3980102539060,2529.999755859380,635.2850952148440,328.9197082519530,2562.0185546875,452.62591552734400,1038.518310546880,1736.4801025390600,368.14471435546900,180.1818084716800,2013.2659912109400,120.6761474609380,1048.841796875,81.00406646728520,310.5302429199220,771.9525146484380,508.1275634765630,214.64999389648400,101.1439208984380
2019-01-15,36318.328125,1394.310546875,659.0968627929690,2588.25244140625,650.4721069335940,334.6180725097660,2571.841796875,457.2122497558590,1048.5037841796900,1760.2601318359400,367.306640625,184.2993927001950,2024.9580078125,121.126708984375,1057.2930908203100,80.90533447265630,316.93389892578100,775.6229248046880,510.6074523925780,216.5,101.05048370361300
2019-01-16,36321.2890625,1377.4029541015600,662.6415405273440,2562.0634765625,645.169921875,330.356689453125,2601.509765625,452.91558837890600,1047.9847412109400,1742.880615234380,369.8207702636720,181.52125549316400,2037.505126953130,121.82100677490200,1052.32177734375,83.12664794921880,322.6878967285160,769.4227294921880,508.0779724121090,216.5,101.5488052368160
2019-01-17,36374.078125,1377.8489990234400,675.2722778320310,2524.871826171880,636.0497436523440,329.31610107421900,2596.4990234375,460.9537658691410,1052.45849609375,1723.2855224609400,368.09539794921900,182.6622772216800,2001.853759765630,121.73976135253900,1056.099853515630,83.27474212646480,328.9058837890630,786.039306640625,505.6476745605470,215.10000610351600,103.58881378173800
2019-01-18,36386.609375,1389.6002197265600,663.29052734375,2530.099609375,624.220947265625,308.1578674316410,2578.787353515630,465.63671875,1053.521240234380,1716.9833984375,366.6658020019530,178.89195251464800,1978.8427734375,120.45455169677700,1047.400146484380,81.79386138916020,328.0706481933590,780.8311157226560,505.5981140136720,212.89999389648400,100.64559173584000
2019-01-21,36578.9609375,1408.7886962890600,659.2466430664060,2577.946044921880,637.8937377929690,307.6623229980470,2581.6650390625,464.71942138671900,1061.1092529296900,1721.5130615234400,366.02496337890600,175.8657684326170,1970.0146484375,118.5858383178710,1040.291259765630,79.32572937011720,325.75048828125,777.8054809570310,506.689208984375,212.5500030517580,101.93811798095700
2019-01-22,36444.640625,1394.806396484380,660.7943115234380,2605.57861328125,641.2919921875,301.51800537109400,2619.51904296875,454.5811462402340,1055.0784912109400,1723.088623046880,363.8066101074220,178.048583984375,1966.4627685546900,117.66256713867200,1046.5550537109400,77.74612426757810,327.4209899902340,784.6505126953130,502.8702392578130,213.5500030517580,103.32408142089800
